EXCHANGE_ACCOUNT_ID,level,CREATED_AT,FIRST_VERIFIED_AT,STATE_CODE,COUNTRY_CODE,BIRTH_YEAR,OCCUPATION,BROWSER_COUNT,OS_COUNT,TOTAL_DEVICES,SESSION_COUNT,COUNT_BANKS,OCCUPATION_GROUP,dummy,age,days_to_verify,days_since_creation
1,level_a,,2016-12-14,NAN,NAN,,NAN,,,,1,6.0,MISSING,1,,,
3,level_a,,2017-04-10,NAN,NAN,,NAN,,,,1,4.0,MISSING,1,,,
5,level_a,,2017-05-02,NAN,NAN,,NAN,,,,1,3.0,MISSING,1,,,
7,level_a,,2017-06-28,NAN,NAN,,NAN,,,,1,16.0,MISSING,1,,,
9,level_a,,2017-06-28,NAN,NAN,,NAN,,,,1,1.0,MISSING,1,,,
11,level_a,,2017-07-12,NAN,NAN,,NAN,,,,1,5.0,MISSING,1,,,
13,level_a,,2017-09-18,NAN,NAN,,NAN,,,,1,3.0,MISSING,1,,,
5201,level_d,2017-08-22,2017-07-18,SD,US,1967.0,RETIRED,4.0,4.0,60.0,974,1.0,RETIRED,1,54.0,35.0,1284.0
5203,level_b,2016-06-21,2016-06-21,NY,US,1985.0,SALESFORCE ADMINISTRATOR,2.0,1.0,6.0,143,2.0,SALES,1,36.0,0.0,1711.0
5205,level_b,2017-01-20,2016-11-13,CA,US,1991.0,SOFTWARE ENGINEER,1.0,1.0,5.0,313,3.0,TECH,1,30.0,68.0,1498.0
5207,level_b,2017-08-03,2017-08-02,GA,US,1973.0,GENERAL EXECUTORTRUSTEE,3.0,4.0,9.0,146,1.0,OTHER,1,48.0,1.0,1303.0
5209,level_d,2017-09-01,2017-09-01,WA,US,1978.0,FINANCE,10.0,6.0,22.0,107,5.0,FINANCE,1,43.0,0.0,1274.0
5211,level_b,2017-01-20,2017-01-18,PA,US,1991.0,SELF EMPLOYED,4.0,5.0,64.0,358,2.0,SELF,1,30.0,2.0,1498.0
5213,level_d,2017-11-13,2017-11-08,NJ,US,1953.0,SELF EMPLOYED,1.0,1.0,6.0,67,2.0,SELF,1,68.0,5.0,1201.0
5215,level_c,2017-12-07,2017-12-04,NON US,SG,1981.0,MANAGER,3.0,5.0,7.0,242,5.0,MANAGER,1,40.0,3.0,1177.0
5217,level_b,2017-01-10,2017-01-10,FL,US,1986.0,ENGINEER,4.0,4.0,8.0,223,1.0,TECH,1,35.0,0.0,1508.0
5219,level_d,2017-10-03,2017-10-03,GA,US,1966.0,DRIVER,3.0,3.0,5.0,1077,3.0,DRIVER,1,55.0,0.0,1242.0
5221,level_c,2016-09-01,2016-08-22,FL,US,1984.0,CEO,,,,176,5.0,EXECUTIVE,1,37.0,10.0,1639.0
5223,level_b,2018-01-12,2017-12-22,CO,US,1973.0,SELF EMPLOYED,2.0,1.0,5.0,82,3.0,SELF,1,48.0,21.0,1141.0
5225,level_b,2018-03-16,2018-01-30,CA,US,1968.0,ARTIST,2.0,2.0,8.0,34,1.0,ARTIST,1,53.0,45.0,1078.0
5227,level_b,2017-11-29,2017-11-29,MN,US,1991.0,SOFTWARE ENGINEER,6.0,7.0,48.0,357,1.0,TECH,1,30.0,0.0,1185.0
5229,level_d,2017-12-27,2017-12-14,CA,US,1988.0,CEO,3.0,3.0,12.0,247,3.0,EXECUTIVE,1,33.0,13.0,1157.0
5231,level_b,2018-08-28,2018-08-28,NY,US,1972.0,SALES  REAL ESTATE,4.0,2.0,11.0,105,5.0,SALES,1,49.0,0.0,913.0
5233,level_d,2017-04-27,2017-04-18,FL,US,1964.0,SELF EMPLOYED,1.0,1.0,2.0,275,7.0,SELF,1,57.0,9.0,1401.0
5235,level_b,2017-07-21,2017-07-12,MA,US,1984.0,SELF EMPLOYED,4.0,2.0,12.0,153,1.0,SELF,1,37.0,9.0,1316.0
5237,level_d,2017-07-31,2017-07-31,HONG KONG,HK,1970.0,FINANCE,4.0,5.0,7.0,198,2.0,FINANCE,1,51.0,0.0,1306.0
5239,level_b,2017-12-06,2017-12-04,MO,US,1958.0,SELF EMPLOYED,4.0,3.0,8.0,123,7.0,SELF,1,63.0,2.0,1178.0
5241,level_d,2017-05-16,2017-05-15,NJ,US,1982.0,OPERATIONS,5.0,5.0,67.0,318,6.0,OTHER,1,39.0,1.0,1382.0
5243,level_d,2017-06-05,2017-05-25,FL,US,1978.0,FARMER,6.0,6.0,16.0,387,6.0,OTHER,1,43.0,11.0,1362.0
5245,level_b,2017-12-02,2017-12-02,NY,US,1985.0,REAL ESTATE BROKER,4.0,6.0,17.0,314,2.0,REAL ESTATE,1,36.0,0.0,1182.0
5247,level_b,2017-06-22,2017-06-18,WA,US,1989.0,ANAYLST,3.0,3.0,4.0,149,1.0,OTHER,1,32.0,4.0,1345.0
5249,level_b,2017-07-18,2017-07-12,NY,US,1998.0,STUDENT,2.0,3.0,10.0,291,4.0,STUDENT,1,23.0,6.0,1319.0
5251,level_b,2018-01-14,2018-01-06,CA,US,1969.0,VENTURE CAPITAL,3.0,2.0,8.0,67,6.0,TECH,1,52.0,8.0,1139.0
5253,level_b,2017-07-27,2017-07-25,CA,US,1985.0,SOFTWARE ENGINEER,1.0,2.0,11.0,84,3.0,TECH,1,36.0,2.0,1310.0
5255,level_b,2017-08-30,2017-08-30,TX,US,1986.0,PHYSICIAN,3.0,2.0,9.0,117,1.0,MEDICINE,1,35.0,0.0,1276.0
5257,level_b,2017-02-15,2017-02-13,VA,US,1960.0,ENGINEER,4.0,4.0,11.0,184,3.0,TECH,1,61.0,2.0,1472.0
5259,level_c,2017-08-24,2017-08-20,TX,US,1964.0,PROGRAMMER,1.0,2.0,17.0,20,3.0,TECH,1,57.0,4.0,1282.0
5261,level_b,2017-09-26,2017-09-22,NY,US,1969.0,FINANCE,3.0,2.0,3.0,388,2.0,FINANCE,1,52.0,4.0,1249.0
67,level_c,,2018-01-29,CA,US,1985.0,HEDGE FUND MANAGER,2.0,2.0,4.0,6,3.0,MANAGER,1,36.0,,
5265,level_d,2015-12-14,2015-12-10,CA,US,1959.0,CUSTOMER SERVICE,1.0,1.0,2.0,122,4.0,OTHER,1,62.0,4.0,1901.0
5267,level_d,2017-10-02,2017-04-26,CA,US,1992.0,MILITARY,3.0,5.0,41.0,130,10.0,TECH,1,29.0,159.0,1243.0
5269,level_b,2017-06-05,2017-05-11,NY,US,1965.0,RADIO HOST,4.0,2.0,9.0,60,2.0,OTHER,1,56.0,25.0,1362.0
5271,level_d,2017-12-01,2017-11-30,NON US,SG,1988.0,SELFEMPLOYED,2.0,2.0,6.0,359,10.0,SELF,1,33.0,1.0,1183.0
5273,level_b,2017-05-02,2016-02-12,FL,US,1967.0,GENERAL CONTRACTOR,6.0,4.0,15.0,93,4.0,EXECUTIVE,1,54.0,445.0,1396.0
5275,level_d,2017-04-27,2017-04-18,NH,US,1953.0,SELF EMPLOYED,2.0,1.0,6.0,252,4.0,SELF,1,68.0,9.0,1401.0
5277,level_b,2017-12-05,2017-08-30,NY,US,1969.0,INVESTOR,4.0,4.0,18.0,126,2.0,INVESTOR,1,52.0,97.0,1179.0
5279,level_b,2018-02-20,2017-08-04,NY,US,1964.0,PRESIDENT,3.0,2.0,8.0,44,6.0,EXECUTIVE,1,57.0,200.0,1102.0
5281,level_d,2017-06-13,2017-06-08,IN,US,1962.0,DENTIST,2.0,1.0,63.0,117,5.0,MEDICINE,1,59.0,5.0,1354.0
5283,level_b,2017-06-08,2017-05-25,NY,US,1986.0,MARKETING,1.0,1.0,4.0,71,2.0,MARKETING,1,35.0,14.0,1359.0
5285,level_c,2018-03-13,2018-01-24,HONG KONG,HK,1991.0,TEACHER,1.0,2.0,2.0,92,4.0,TEACHER,1,30.0,48.0,1081.0
5287,level_b,,2017-09-22,NE,US,1992.0,MILITARY,3.0,2.0,5.0,56,4.0,TECH,1,29.0,,
5289,level_b,2017-11-29,2017-11-29,NY,US,1985.0,FINANCE,1.0,1.0,2.0,30,1.0,FINANCE,1,36.0,0.0,1185.0
5291,level_d,2017-07-18,2017-07-13,MN,US,1984.0,ENGINEER,3.0,2.0,7.0,120,4.0,TECH,1,37.0,5.0,1319.0
5293,level_d,2015-10-06,2015-10-06,NY,US,1988.0,ASSISTANT,2.0,1.0,2.0,86,1.0,OTHER,1,33.0,0.0,1970.0
5295,level_b,2016-12-09,2016-11-21,CT,US,1968.0,PHYSICIAN,1.0,1.0,2.0,44,5.0,MEDICINE,1,53.0,18.0,1540.0
5297,level_d,2017-02-24,2017-02-23,FL,US,1968.0,SELF EMPLOYED,4.0,4.0,66.0,1946,3.0,SELF,1,53.0,1.0,1463.0
5299,level_b,2015-11-02,2015-11-02,NY,US,1984.0,STUDENT,,,,34,2.0,STUDENT,1,37.0,0.0,1943.0
5301,level_d,2017-06-02,2017-05-26,CA,US,1970.0,CONTRACTOR,3.0,2.0,9.0,192,8.0,EXECUTIVE,1,51.0,7.0,1365.0
4723,level_c,2019-01-22,2019-01-19,ON,CA,1977.0,NAN,1.0,1.0,4.0,14,2.0,MISSING,1,44.0,3.0,766.0
5305,level_d,2017-04-26,2017-04-26,CA,US,1985.0,NAN,1.0,1.0,1.0,45,2.0,MISSING,1,36.0,0.0,1402.0
5307,level_b,2017-05-15,2017-05-11,NY,US,1976.0,SALESPERSON,6.0,4.0,18.0,191,3.0,SALES,1,45.0,4.0,1383.0
5309,level_c,2018-05-25,2018-05-25,NON US,SG,1972.0,DIRECTOR,4.0,3.0,7.0,153,4.0,EXECUTIVE,1,49.0,0.0,1008.0
5311,level_c,2017-12-21,2017-12-12,NON US,SG,1983.0,BANKER,2.0,3.0,4.0,30,1.0,FINANCE,1,38.0,9.0,1163.0
5313,level_b,2016-06-20,2016-06-16,NY,US,1986.0,ASSISTANT EDITOR,3.0,2.0,14.0,216,1.0,TECH,1,35.0,4.0,1712.0
5315,level_b,2017-11-24,2017-11-24,CA,US,1993.0,INVESTOR,7.0,4.0,49.0,113,3.0,INVESTOR,1,28.0,0.0,1190.0
5317,level_c,2017-09-21,2017-09-20,VA,US,1977.0,ACCOUNT MANAGER,4.0,5.0,13.0,152,1.0,MANAGER,1,44.0,1.0,1254.0
5319,level_d,2017-06-29,2016-05-12,NON US,GB,1978.0,BLOCKCHAIN CONSULTANT,3.0,2.0,9.0,123,5.0,OTHER,1,43.0,413.0,1338.0
5321,level_c,2018-03-09,2018-01-19,AL,US,1987.0,CEO,1.0,1.0,3.0,165,7.0,EXECUTIVE,1,34.0,49.0,1085.0
5323,level_b,2018-01-24,2017-12-20,CA,US,1957.0,SELF EMPLOYED,2.0,3.0,9.0,38,1.0,SELF,1,64.0,35.0,1129.0
5325,level_d,2017-02-03,2017-02-01,NON US,GB,1972.0,MEDICAL,4.0,3.0,10.0,122,2.0,MEDICINE,1,49.0,2.0,1484.0
5327,level_b,2018-03-18,2018-03-18,CA,US,1971.0,CUSTOMER SERVICE OPERATOR,2.0,2.0,5.0,91,4.0,OTHER,1,50.0,0.0,1076.0
5329,level_c,2017-09-05,2017-08-31,WA,US,1989.0,COO,3.0,3.0,14.0,273,2.0,EXECUTIVE,1,32.0,5.0,1270.0
5331,level_a,,2017-12-14,NAN,NAN,,NAN,1.0,1.0,1.0,1,4.0,MISSING,1,,,
5333,level_b,2017-03-31,2017-03-19,NY,US,1986.0,PROGRAMMER,2.0,1.0,2.0,23,2.0,TECH,1,35.0,12.0,1428.0
5335,level_c,2017-06-20,2017-06-14,NON US,GB,1984.0,CARPENTER,3.0,2.0,4.0,113,2.0,OTHER,1,37.0,6.0,1347.0
5337,level_b,2017-11-24,2017-11-23,NY,US,1990.0,FINANCE,2.0,3.0,13.0,34,4.0,FINANCE,1,31.0,1.0,1190.0
5339,level_b,2018-03-14,2018-01-25,NY,US,1986.0,AD EXEC,5.0,6.0,15.0,361,2.0,OTHER,1,35.0,48.0,1080.0
5341,level_d,2018-03-08,2018-01-18,NON US,SG,1982.0,DIRECTOR,3.0,2.0,6.0,57,2.0,EXECUTIVE,1,39.0,49.0,1086.0
5343,level_d,2016-06-30,2016-06-17,NY,US,1978.0,INFORMATION TECHNOLOGY,3.0,1.0,8.0,155,4.0,TECH,1,43.0,13.0,1702.0
5345,level_d,2017-09-08,2017-09-02,NON US,SG,1990.0,SELF EMPLOYED,2.0,4.0,13.0,295,18.0,SELF,1,31.0,6.0,1267.0
5347,level_d,2017-07-09,2017-06-28,MD,US,1953.0,IBM MANAGEMENT,4.0,4.0,7.0,102,1.0,MANAGER,1,68.0,11.0,1328.0
5349,level_c,2017-07-20,2017-06-02,CO,US,1983.0,EDUCATION,1.0,1.0,3.0,356,6.0,OTHER,1,38.0,48.0,1317.0
5351,level_b,2017-11-04,2017-11-01,IL,US,1983.0,SALES,1.0,2.0,3.0,141,2.0,SALES,1,38.0,3.0,1210.0
807,level_b,2017-01-31,2017-01-31,NJ,US,1976.0,NAN,1.0,2.0,2.0,34,6.0,MISSING,1,45.0,0.0,1487.0
5355,level_b,2017-02-03,2017-02-01,IL,US,1976.0,SOFTWARE ENGINEER,2.0,3.0,6.0,76,2.0,TECH,1,45.0,2.0,1484.0
5357,level_c,2016-07-26,2016-02-14,NY,US,1977.0,SERVICE MANAGER,7.0,4.0,31.0,293,12.0,MANAGER,1,44.0,163.0,1676.0
5359,level_d,2017-05-20,2017-05-09,CA,US,1988.0,ONLINE BUSINESS,3.0,4.0,22.0,205,2.0,BUSINESS,1,33.0,11.0,1378.0
5361,level_d,2016-09-02,2016-08-12,MD,US,1974.0,INVESTMENT MANAGER,2.0,3.0,6.0,77,5.0,MANAGER,1,47.0,21.0,1638.0
5363,level_b,2016-08-05,2016-08-05,NY,US,1985.0,SELF EMPLOYED,1.0,1.0,6.0,186,3.0,SELF,1,36.0,0.0,1666.0
5365,level_d,2018-01-16,2017-12-31,NON US,SG,1985.0,BUSINESS DEVELOPMENT MANAGER,2.0,3.0,36.0,108,5.0,MANAGER,1,36.0,16.0,1137.0
5367,level_d,2017-06-23,2017-06-20,HONG KONG,HK,1987.0,BUSINESS MAN,1.0,1.0,5.0,88,3.0,BUSINESS,1,34.0,3.0,1344.0
5369,level_b,2017-03-07,2017-03-06,CA,US,1980.0,CONSULTANT,4.0,3.0,11.0,120,3.0,CONSULTANT,1,41.0,1.0,1452.0
5371,level_d,2017-06-09,2017-06-01,NY,US,1979.0,CEO,3.0,5.0,12.0,144,7.0,EXECUTIVE,1,42.0,8.0,1358.0
5373,level_b,2017-10-19,2017-10-19,CA,US,1980.0,ENGINEER,2.0,4.0,12.0,728,1.0,TECH,1,41.0,0.0,1226.0
5375,level_d,2017-08-25,2017-08-23,NON US,SG,1970.0,DIRECTOR,3.0,4.0,9.0,267,7.0,EXECUTIVE,1,51.0,2.0,1281.0
5377,level_d,2017-06-20,2017-06-15,NON US,SG,1989.0,SOFTWARE ENGINEER,2.0,2.0,17.0,296,4.0,TECH,1,32.0,5.0,1347.0
5379,level_d,2017-07-18,2017-07-12,CA,US,1975.0,PRESIDENT,2.0,2.0,3.0,73,5.0,EXECUTIVE,1,46.0,6.0,1319.0
