EXCHANGE_ACCOUNT_ID,exposure_count,SENT_INDIRECT_EXPOSURE_SUM,SENT_DIRECT_EXPOSURE_SUM,RECEIVED_INDIRECT_EXPOSURE_SUM,RECEIVED_DIRECT_EXPOSURE_SUM,cluster_category_count,cluster_name_count,cluster_category_category_1,cluster_category_category_2,cluster_category_category_3,cluster_category_category_4,cluster_category_category_5,cluster_category_category_6,cluster_category_category_7,cluster_category_category_8,cluster_category_category_9,cluster_category_category_10,cluster_category_category_11,cluster_category_category_12,cluster_category_category_13,cluster_category_category_14,cluster_category_category_15,SENT_INDIRECT_EXPOSURE_AVG,SENT_DIRECT_EXPOSURE_AVG,RECEIVED_INDIRECT_EXPOSURE_AVG,RECEIVED_DIRECT_EXPOSURE_AVG
5203,9,63314.009999999995,109.73,100884.84999999999,0.0,3,9,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7034.889999999999,12.192222222222222,11209.427777777777,0.0
5227,47,8018.389999999999,6038.379999999999,25617.440000000006,1759.73,7,28,31,1,4,3,2,4,2,0,0,0,0,0,0,0,0,170.60404255319148,128.47617021276594,545.0519148936171,37.44106382978723
5243,47,57843.280000000006,18055.57,48972.36,5977.58,11,47,27,4,1,2,1,2,2,3,2,0,1,2,0,0,0,1230.7080851063831,384.1610638297872,1041.9651063829788,127.18255319148936
5327,3,545409.39,512260.62,0.0,0.0,2,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,181803.13,170753.54,0.0,0.0
5329,33,7755.72,7716.89,241066.62,192840.28999999998,7,32,20,1,1,0,2,2,6,0,0,0,0,1,0,0,0,235.0218181818182,233.8451515151515,7305.04909090909,5843.645151515151
5343,31,63443.32000000001,50147.83,33363.490000000005,33363.490000000005,5,31,25,2,1,0,0,2,0,0,1,0,0,0,0,0,0,2046.5587096774195,1617.671935483871,1076.241612903226,1076.241612903226
5375,4,90411.0,67527.25,32096.36,0.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22602.75,16881.8125,8024.09,0.0
5381,16,73964.45999999999,0.0,119454.61999999998,20579.2,3,16,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4622.7787499999995,0.0,7465.913749999999,1286.2
5413,12,4841.18,4841.18,150923.28,15630.46,3,12,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,403.4316666666667,403.4316666666667,12576.94,1302.5383333333332
5423,49,17337.8,0.0,153163.13,21886.78,8,49,29,4,2,5,2,2,4,0,0,0,0,1,0,0,0,353.83265306122445,0.0,3125.7781632653064,446.6689795918367
