ACCOUNT_ID,AMOUNT_nunique_type_1,AMOUNT_nunique_type_2,AMOUNT_nunique_type_3,AMOUNT_nunique_type_4,AMOUNT_nunique_type_5,AMOUNT_sum_type_1,AMOUNT_sum_type_2,AMOUNT_sum_type_3,AMOUNT_sum_type_4,AMOUNT_sum_type_5,CURRENCY_nunique_type_1,CURRENCY_nunique_type_2,CURRENCY_nunique_type_3,CURRENCY_nunique_type_4,CURRENCY_nunique_type_5,CURRENCY_sum_type_1,CURRENCY_sum_type_2,CURRENCY_sum_type_3,CURRENCY_sum_type_4,CURRENCY_sum_type_5
5203,,,1.0,,,,,500.0,,,,,1.0,,,,,currency_1,,
5205,,1.0,,,,,4264.65,,,,,1.0,,,,,currency_1,,,
5207,1.0,,1.0,,,1000.0,,1000.0,,,1.0,,1.0,,,currency_1currency_1,,currency_1currency_1,,
5209,,11.0,3.0,,,,149.289715,254000.0,,,,2.0,1.0,,,,currency_2currency_2currency_2currency_2currency_2currency_3currency_3currency_3currency_3currency_3currency_3currency_3currency_3,currency_1currency_1currency_1,,
5211,,,1.0,,,,,94.99955899999999,,,,,1.0,,,,,currency_3,,
5219,,,1.0,,,,,0.033985,,,,,1.0,,,,,currency_2,,
5231,,,1.0,,,,,900.0,,,,,1.0,,,,,currency_1,,
5233,,1.0,,,,,880.0,,,,,1.0,,,,,currency_1,,,
5235,,5.0,2.0,,,,11.461919,5000.0,,,,2.0,1.0,,,,currency_3currency_3currency_2currency_3currency_3,currency_1currency_1,,
5237,,2.0,,,,,44.0,,,,,2.0,,,,,currency_2currency_2currency_3,,,
5241,,,3.0,,,,,45006.888612,,,,,3.0,,,,,currency_3currency_1currency_2,,
5243,2.0,4.0,,,,1300.0,5.146473,,,,1.0,2.0,,,,currency_1currency_1currency_1,currency_3currency_3currency_3currency_2,,,
5247,,1.0,1.0,,,,6.842227,20000.0,,,,1.0,1.0,,,,currency_2,currency_1,,
5257,1.0,,,,,500.0,,,,,1.0,,,,,currency_1,,,,
5261,1.0,,1.0,,,1000.0,,2000.0,,,1.0,,1.0,,,currency_1currency_1,,currency_1currency_1currency_1currency_1,,
5265,,,1.0,,,,,1000.0,,,,,1.0,,,,,currency_1currency_1,,
5267,,1.0,,,,,0.09262000000000001,,,,,1.0,,,,,currency_2,,,
5291,1.0,,1.0,,,1500.0,,1000.0,,,1.0,,1.0,,,currency_1currency_1currency_1,,currency_1currency_1,,
5297,,2.0,,,,,69.0,,,,,1.0,,,,,currency_3currency_3currency_3,,,
5313,1.0,1.0,1.0,,,1000.0,1.5,500.0,,,1.0,1.0,1.0,,,currency_1currency_1,currency_3,currency_1,,
5317,,4.0,1.0,,,,24.071012,85000.0,,,,1.0,1.0,,,,currency_2currency_2currency_2currency_2currency_2,currency_1,,
5319,,,1.0,,,,,0.695415,,,,,1.0,,,,,currency_2,,
5325,,,1.0,,,,,3.0,,,,,1.0,,,,,currency_2,,
5331,1.0,1.0,1.0,,,4.000358,31712.0,4.000358,,,1.0,1.0,1.0,,,currency_2,currency_1,currency_2,,
5335,,1.0,,,,,0.8791709999999999,,,,,1.0,,,,,currency_2,,,
5339,,,1.0,,,,,1000.0,,,,,1.0,,,,,currency_1,,
5345,,,1.0,,,,,75.0,,,,,1.0,,,,,currency_1,,
5347,1.0,4.0,2.0,,,2000.0,42.4,25500.0,,,1.0,2.0,1.0,,,currency_1currency_1currency_1currency_1,currency_3currency_2currency_3currency_3,currency_1currency_1,,
5349,1.0,6.0,4.0,,,2500.0,18.485503,36100.0,,,1.0,2.0,1.0,,,currency_1currency_1currency_1currency_1currency_1,currency_2currency_2currency_3currency_2currency_2currency_2,currency_1currency_1currency_1currency_1currency_1currency_1currency_1currency_1currency_1,,
5351,1.0,4.0,2.0,,,1000.0,106.93407499999999,36000.0,,,1.0,2.0,1.0,,,currency_1currency_1,currency_2currency_3currency_3currency_3,currency_1currency_1currency_1,,
5357,,1.0,1.0,,,,0.399781,1850.0,,,,1.0,1.0,,,,currency_2,currency_1,,
5361,,1.0,,,,,750.0,,,,,1.0,,,,,currency_1,,,
5367,,1.0,2.0,,,,75.340331,78.4,,,,1.0,1.0,,,,currency_3,currency_3currency_3,,
5373,1.0,1.0,1.0,,,500.0,0.40700000000000003,1000.0,,,1.0,1.0,1.0,,,currency_1,currency_2,currency_1currency_1,,
5383,2.0,3.0,2.0,,,1000.1,0.7108,5.1,,,2.0,1.0,1.0,,,currency_2currency_1currency_1,currency_2currency_2currency_2,currency_2currency_2,,
5385,1.0,1.0,,,,1000.0,0.56623,,,,1.0,1.0,,,,currency_1currency_1,currency_2,,,
5395,,1.0,,,,,90000.0,,,,,1.0,,,,,currency_1,,,
5399,,,1.0,,,,,40000.0,,,,,1.0,,,,,currency_1,,
5407,,1.0,,,,,13.8516,,,,,1.0,,,,,currency_2,,,
5409,1.0,2.0,2.0,,,0.503426,44500.0,29.503426,,,1.0,1.0,1.0,,,currency_2,currency_1currency_1,currency_2currency_2,,
5415,1.0,1.0,1.0,,,2.057045,8587.2,2.057045,,,1.0,1.0,1.0,,,currency_2,currency_1,currency_2,,
5419,,,1.0,,,,,100000.0,,,,,1.0,,,,,currency_1,,
5429,1.0,,,,,500.0,,,,,1.0,,,,,currency_1,,,,
5435,,3.0,,,,,2.39,,,,,1.0,,,,,currency_2currency_2currency_2,,,
5439,,3.0,,,,,2919.073526,,,,,2.0,,,,,currency_1currency_2currency_2,,,
5441,1.0,1.0,2.0,,,3000.0,1.0,1000.164,,,1.0,1.0,2.0,,,currency_1currency_1currency_1currency_1currency_1currency_1,currency_3,currency_1currency_1currency_2,,
5447,1.0,,1.0,,,1500.0,,500.0,,,1.0,,1.0,,,currency_1currency_1currency_1,,currency_1,,
5453,1.0,,,,,1000.0,,,,,1.0,,,,,currency_1currency_1,,,,
5455,1.0,2.0,,,,1500.0,37.954596,,,,1.0,2.0,,,,currency_1currency_1currency_1,currency_3currency_2,,,
5463,1.0,,,,,0.38322,,,,,1.0,,,,,currency_2,,,,
5467,1.0,2.0,3.0,,,1500.0,2990.0,1700.0,,,1.0,1.0,1.0,,,currency_1currency_1currency_1,currency_1currency_1,currency_1currency_1currency_1currency_1currency_1currency_1,,
5473,1.0,2.0,1.0,,,7.068803999999999,54742.634764,7.068803999999999,,,1.0,2.0,1.0,,,currency_2,currency_1currency_2,currency_2,,
5475,,2.0,,,,,258.0,,,,,2.0,,,,,currency_3currency_2,,,
5479,,1.0,1.0,,,,7340.05,0.498,,,,1.0,1.0,,,,currency_1,currency_2,,
5483,1.0,,2.0,,,7.084052000000001,,34.597274999999996,,,1.0,,2.0,,,currency_2,,currency_3currency_2,,
5491,,1.0,,,,,0.235803,,,,,1.0,,,,,currency_2,,,
5499,,1.0,1.0,,,,4.7,20020.0,,,,1.0,1.0,,,,currency_2,currency_1,,
5503,1.0,1.0,2.0,,,20.865,100000.0,92.294556,,,1.0,1.0,2.0,,,currency_2,currency_1,currency_2currency_3,,
5505,1.0,1.0,1.0,,,500.0,10.0,500.0,,,1.0,1.0,1.0,,,currency_1,currency_3,currency_1,,
5511,,3.0,3.0,,,,34.101143,185000.0,,,,1.0,1.0,,,,currency_2currency_2currency_2,currency_1currency_1currency_1,,
5513,,2.0,1.0,,,,170.184,18.72165,,,,2.0,1.0,,,,currency_3currency_2,currency_3,,
5519,2.0,,2.0,,,9.991222,,6.246656,,,1.0,,1.0,,,currency_2currency_2,,currency_2currency_2,,
5531,,,1.0,,,,,2000.0,,,,,1.0,,,,,currency_1,,
5539,1.0,,,,,500.0,,,,,1.0,,,,,currency_1,,,,
5541,,,1.0,,,,,1500.0,,,,,1.0,,,,,currency_1currency_1currency_1,,
5555,1.0,,,,,500.0,,,,,1.0,,,,,currency_1,,,,
5559,,,1.0,,,,,19500.0,,,,,1.0,,,,,currency_1,,
5561,,,1.0,,,,,1000.0,,,,,1.0,,,,,currency_1currency_1,,
5567,,1.0,1.0,,,,34102.4,3.0,,,,1.0,1.0,,,,currency_1,currency_2,,
