level,STATE_CODE,COUNTRY_CODE,BROWSER_COUNT,OS_COUNT,TOTAL_DEVICES,SESSION_COUNT,COUNT_BANKS,OCCUPATION_GROUP,age,days_to_verify,days_since_creation,exposure_count,SENT_INDIRECT_EXPOSURE_SUM,SENT_DIRECT_EXPOSURE_SUM,RECEIVED_INDIRECT_EXPOSURE_SUM,RECEIVED_DIRECT_EXPOSURE_SUM,cluster_category_count,cluster_name_count,cluster_category_category_1,cluster_category_category_2,cluster_category_category_3,cluster_category_category_4,cluster_category_category_5,cluster_category_category_6,cluster_category_category_7,cluster_category_category_8,cluster_category_category_9,cluster_category_category_10,cluster_category_category_11,cluster_category_category_12,cluster_category_category_13,cluster_category_category_14,cluster_category_category_15,SENT_INDIRECT_EXPOSURE_AVG,SENT_DIRECT_EXPOSURE_AVG,RECEIVED_INDIRECT_EXPOSURE_AVG,RECEIVED_DIRECT_EXPOSURE_AVG,AMOUNT_nunique_type_1,AMOUNT_nunique_type_2,AMOUNT_nunique_type_3,AMOUNT_nunique_type_4,AMOUNT_nunique_type_5,AMOUNT_sum_type_1,AMOUNT_sum_type_2,AMOUNT_sum_type_3,AMOUNT_sum_type_4,AMOUNT_sum_type_5,CURRENCY_nunique_type_1,CURRENCY_nunique_type_2,CURRENCY_nunique_type_3,CURRENCY_nunique_type_4,CURRENCY_nunique_type_5
level_a,NAN,NAN,,,,1,6.0,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_a,NAN,NAN,,,,1,4.0,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_a,NAN,NAN,,,,1,3.0,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_a,NAN,NAN,,,,1,16.0,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_a,NAN,NAN,,,,1,1.0,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_a,NAN,NAN,,,,1,5.0,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_a,NAN,NAN,,,,1,3.0,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_d,SD,US,4.0,4.0,60.0,974,1.0,RETIRED,54.0,35.0,1284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,NY,US,2.0,1.0,6.0,143,2.0,SALES,36.0,0.0,1711.0,9.0,63314.01,109.73,100884.85,0.0,3.0,9.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7034.889999999999,12.192222222222222,11209.427777777775,0.0,,,1.0,,,,,500.0,,,,,1.0,,
level_b,CA,US,1.0,1.0,5.0,313,3.0,TECH,30.0,68.0,1498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4264.65,,,,,1.0,,,
level_b,GA,US,3.0,4.0,9.0,146,1.0,OTHER,48.0,1.0,1303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1000.0,,1000.0,,,1.0,,1.0,,
level_d,WA,US,10.0,6.0,22.0,107,5.0,FINANCE,43.0,0.0,1274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,,,,149.289715,254000.0,,,,2.0,1.0,,
level_b,PA,US,4.0,5.0,64.0,358,2.0,SELF,30.0,2.0,1498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,94.999559,,,,,1.0,,
level_d,NJ,US,1.0,1.0,6.0,67,2.0,SELF,68.0,5.0,1201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_c,NON US,SG,3.0,5.0,7.0,242,5.0,MANAGER,40.0,3.0,1177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,FL,US,4.0,4.0,8.0,223,1.0,TECH,35.0,0.0,1508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_d,GA,US,3.0,3.0,5.0,1077,3.0,DRIVER,55.0,0.0,1242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.033985,,,,,1.0,,
level_c,FL,US,,,,176,5.0,EXECUTIVE,37.0,10.0,1639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,CO,US,2.0,1.0,5.0,82,3.0,SELF,48.0,21.0,1141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,CA,US,2.0,2.0,8.0,34,1.0,ARTIST,53.0,45.0,1078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,MN,US,6.0,7.0,48.0,357,1.0,TECH,30.0,0.0,1185.0,47.0,8018.389999999999,6038.379999999999,25617.44000000001,1759.73,7.0,28.0,31.0,1.0,4.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.60404255319148,128.47617021276594,545.0519148936171,37.44106382978723,,,,,,,,,,,,,,,
level_d,CA,US,3.0,3.0,12.0,247,3.0,EXECUTIVE,33.0,13.0,1157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,NY,US,4.0,2.0,11.0,105,5.0,SALES,49.0,0.0,913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,900.0,,,,,1.0,,
level_d,FL,US,1.0,1.0,2.0,275,7.0,SELF,57.0,9.0,1401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,880.0,,,,,1.0,,,
level_b,MA,US,4.0,2.0,12.0,153,1.0,SELF,37.0,9.0,1316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,,11.461919,5000.0,,,,2.0,1.0,,
level_d,HONG KONG,HK,4.0,5.0,7.0,198,2.0,FINANCE,51.0,0.0,1306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,44.0,,,,,2.0,,,
level_b,MO,US,4.0,3.0,8.0,123,7.0,SELF,63.0,2.0,1178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_d,NJ,US,5.0,5.0,67.0,318,6.0,OTHER,39.0,1.0,1382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,45006.888612,,,,,3.0,,
level_d,FL,US,6.0,6.0,16.0,387,6.0,OTHER,43.0,11.0,1362.0,47.0,57843.280000000006,18055.57,48972.36,5977.58,11.0,47.0,27.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1230.7080851063831,384.1610638297872,1041.9651063829788,127.18255319148936,2.0,4.0,,,,1300.0,5.146473,,,,1.0,2.0,,,
level_b,NY,US,4.0,6.0,17.0,314,2.0,REAL ESTATE,36.0,0.0,1182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,WA,US,3.0,3.0,4.0,149,1.0,OTHER,32.0,4.0,1345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,6.842227,20000.0,,,,1.0,1.0,,
level_b,NY,US,2.0,3.0,10.0,291,4.0,STUDENT,23.0,6.0,1319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,CA,US,3.0,2.0,8.0,67,6.0,TECH,52.0,8.0,1139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,CA,US,1.0,2.0,11.0,84,3.0,TECH,36.0,2.0,1310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,TX,US,3.0,2.0,9.0,117,1.0,MEDICINE,35.0,0.0,1276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,VA,US,4.0,4.0,11.0,184,3.0,TECH,61.0,2.0,1472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,500.0,,,,,1.0,,,,
level_c,TX,US,1.0,2.0,17.0,20,3.0,TECH,57.0,4.0,1282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,NY,US,3.0,2.0,3.0,388,2.0,FINANCE,52.0,4.0,1249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1000.0,,2000.0,,,1.0,,1.0,,
level_c,CA,US,2.0,2.0,4.0,6,3.0,MANAGER,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_d,CA,US,1.0,1.0,2.0,122,4.0,OTHER,62.0,4.0,1901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1000.0,,,,,1.0,,
level_d,CA,US,3.0,5.0,41.0,130,10.0,TECH,29.0,159.0,1243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.09262,,,,,1.0,,,
level_b,NY,US,4.0,2.0,9.0,60,2.0,OTHER,56.0,25.0,1362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_d,NON US,SG,2.0,2.0,6.0,359,10.0,SELF,33.0,1.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,FL,US,6.0,4.0,15.0,93,4.0,EXECUTIVE,54.0,445.0,1396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_d,NH,US,2.0,1.0,6.0,252,4.0,SELF,68.0,9.0,1401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,NY,US,4.0,4.0,18.0,126,2.0,INVESTOR,52.0,97.0,1179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,NY,US,3.0,2.0,8.0,44,6.0,EXECUTIVE,57.0,200.0,1102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_d,IN,US,2.0,1.0,63.0,117,5.0,MEDICINE,59.0,5.0,1354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,NY,US,1.0,1.0,4.0,71,2.0,MARKETING,35.0,14.0,1359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_c,HONG KONG,HK,1.0,2.0,2.0,92,4.0,TEACHER,30.0,48.0,1081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,NE,US,3.0,2.0,5.0,56,4.0,TECH,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_b,NY,US,1.0,1.0,2.0,30,1.0,FINANCE,36.0,0.0,1185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_d,MN,US,3.0,2.0,7.0,120,4.0,TECH,37.0,5.0,1319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1500.0,,1000.0,,,1.0,,1.0,,
