EXCHANGE_ACCOUNT_ID,level,CREATED_AT,FIRST_VERIFIED_AT,STATE_CODE,COUNTRY_CODE,BIRTH_YEAR,OCCUPATION,BROWSER_COUNT,OS_COUNT,TOTAL_DEVICES,SESSION_COUNT,COUNT_BANKS
1,level_a,1/0/00,12/14/16 0:00,,,,,,,,1,6
3,level_a,1/0/00,4/10/17 0:00,,,,,,,,1,4
5,level_a,1/0/00,5/2/17 0:00,,,,,,,,1,3
7,level_a,1/0/00,6/28/17 0:00,,,,,,,,1,16
9,level_a,1/0/00,6/28/17 0:00,,,,,,,,1,1
11,level_a,1/0/00,7/12/17 0:00,,,,,,,,1,5
13,level_a,1/0/00,9/18/17 0:00,,,,,,,,1,3
5201,level_d,8/22/17 0:00,7/18/17 0:00,SD,us,1967,Retired,4,4,60,974,1
5203,level_b,6/21/16 0:00,6/21/16 0:00,NY,us,1985,Salesforce Administrator,2,1,6,143,2
5205,level_b,1/20/17 0:00,11/13/16 0:00,CA,us,1991,Software Engineer,1,1,5,313,3
5207,level_b,8/3/17 0:00,8/2/17 0:00,GA,us,1973,GENERAL EXECUTOR-TRUSTEE,3,4,9,146,1
5209,level_d,9/1/17 0:00,9/1/17 0:00,WA,us,1978,Finance,10,6,22,107,5
5211,level_b,1/20/17 0:00,1/18/17 0:00,PA,US,1991,Self employed,4,5,64,358,2
5213,level_d,11/13/17 0:00,11/8/17 0:00,NJ,us,1953,SELF EMPLOYED,1,1,6,67,2
5215,level_c,12/7/17 0:00,12/4/17 0:00,,sg,1981,Manager,3,5,7,242,5
5217,level_b,1/10/17 0:00,1/10/17 0:00,FL,us,1986,Engineer,4,4,8,223,1
5219,level_d,10/3/17 0:00,10/3/17 0:00,GA,us,1966,Driver,3,3,5,1077,3
5221,level_c,9/1/16 0:00,8/22/16 0:00,FL,us,1984,CEO,,,,176,5
5223,level_b,1/12/18 0:00,12/22/17 0:00,CO,us,1973,self employed,2,1,5,82,3
5225,level_b,3/16/18 0:00,1/30/18 0:00,CA,us,1968,Artist,2,2,8,34,1
5227,level_b,11/29/17 0:00,11/29/17 0:00,MN,us,1991,Software Engineer,6,7,48,357,1
5229,level_d,12/27/17 0:00,12/14/17 0:00,CA,us,1988,CEO,3,3,12,247,3
5231,level_b,8/28/18 0:00,8/28/18 0:00,NY,us,1972,Sales / Real Estate,4,2,11,105,5
5233,level_d,4/27/17 0:00,4/18/17 0:00,FL,us,1964,Self employed,1,1,2,275,7
5235,level_b,7/21/17 0:00,7/12/17 0:00,MA,us,1984,self employed,4,2,12,153,1
5237,level_d,7/31/17 0:00,7/31/17 0:00,Hong Kong,hk,1970,Finance,4,5,7,198,2
5239,level_b,12/6/17 0:00,12/4/17 0:00,MO,us,1958,Self Employed,4,3,8,123,7
5241,level_d,5/16/17 0:00,5/15/17 0:00,NJ,us,1982,Operations,5,5,67,318,6
5243,level_d,6/5/17 0:00,5/25/17 0:00,FL,us,1978,Farmer,6,6,16,387,6
5245,level_b,12/2/17 0:00,12/2/17 0:00,NY,us,1985,real estate broker,4,6,17,314,2
5247,level_b,6/22/17 0:00,6/18/17 0:00,WA,us,1989,Anaylst,3,3,4,149,1
5249,level_b,7/18/17 0:00,7/12/17 0:00,NY,us,1998,Student,2,3,10,291,4
5251,level_b,1/14/18 0:00,1/6/18 0:00,CA,us,1969,Venture Capital,3,2,8,67,6
5253,level_b,7/27/17 0:00,7/25/17 0:00,CA,us,1985,Software Engineer,1,2,11,84,3
5255,level_b,8/30/17 0:00,8/30/17 0:00,TX,us,1986,Physician,3,2,9,117,1
5257,level_b,2/15/17 0:00,2/13/17 0:00,VA,us,1960,Engineer,4,4,11,184,3
5259,level_c,8/24/17 0:00,8/20/17 0:00,TX,us,1964,programmer,1,2,17,20,3
5261,level_b,9/26/17 0:00,9/22/17 0:00,NY,us,1969,Finance,3,2,3,388,2
67,level_c,1/0/00,1/29/18 0:00,CA,us,1985,Hedge Fund Manager,2,2,4,6,3
5265,level_d,12/14/15 0:00,12/10/15 0:00,CA,us,1959,Customer Service,1,1,2,122,4
5267,level_d,10/2/17 0:00,4/26/17 0:00,CA,us,1992,Military,3,5,41,130,10
5269,level_b,6/5/17 0:00,5/11/17 0:00,NY,us,1965,radio host,4,2,9,60,2
5271,level_d,12/1/17 0:00,11/30/17 0:00,,sg,1988,Self-Employed,2,2,6,359,10
5273,level_b,5/2/17 0:00,2/12/16 0:00,FL,us,1967,General Contractor,6,4,15,93,4
5275,level_d,4/27/17 0:00,4/18/17 0:00,NH,us,1953,self employed,2,1,6,252,4
5277,level_b,12/5/17 0:00,8/30/17 0:00,NY,us,1969,Investor,4,4,18,126,2
5279,level_b,2/20/18 0:00,8/4/17 0:00,NY,us,1964,President,3,2,8,44,6
5281,level_d,6/13/17 0:00,6/8/17 0:00,IN,us,1962,Dentist,2,1,63,117,5
5283,level_b,6/8/17 0:00,5/25/17 0:00,NY,us,1986,Marketing,1,1,4,71,2
5285,level_c,3/13/18 0:00,1/24/18 0:00,Hong Kong,hk,1991,TEACHER,1,2,2,92,4
5287,level_b,1/0/00,9/22/17 0:00,NE,us,1992,Military,3,2,5,56,4
5289,level_b,11/29/17 0:00,11/29/17 0:00,NY,us,1985,Finance,1,1,2,30,1
5291,level_d,7/18/17 0:00,7/13/17 0:00,MN,us,1984,engineer,3,2,7,120,4
5293,level_d,10/6/15 0:00,10/6/15 0:00,NY,us,1988,Assistant,2,1,2,86,1
5295,level_b,12/9/16 0:00,11/21/16 0:00,CT,us,1968,Physician,1,1,2,44,5
5297,level_d,2/24/17 0:00,2/23/17 0:00,FL,us,1968,self employed,4,4,66,1946,3
5299,level_b,11/2/15 0:00,11/2/15 0:00,NY,us,1984,Student,,,,34,2
5301,level_d,6/2/17 0:00,5/26/17 0:00,CA,us,1970,Contractor,3,2,9,192,8
4723,level_c,1/22/19 0:00,1/19/19 0:00,ON,ca,1977,,1,1,4,14,2
5305,level_d,4/26/17 0:00,4/26/17 0:00,CA,us,1985,,1,1,1,45,2
5307,level_b,5/15/17 0:00,5/11/17 0:00,NY,us,1976,Salesperson,6,4,18,191,3
5309,level_c,5/25/18 0:00,5/25/18 0:00,,sg,1972,Director,4,3,7,153,4
5311,level_c,12/21/17 0:00,12/12/17 0:00,,sg,1983,Banker,2,3,4,30,1
5313,level_b,6/20/16 0:00,6/16/16 0:00,NY,us,1986,Assistant Editor,3,2,14,216,1
5315,level_b,11/24/17 0:00,11/24/17 0:00,CA,us,1993,Investor,7,4,49,113,3
5317,level_c,9/21/17 0:00,9/20/17 0:00,VA,us,1977,Account Manager,4,5,13,152,1
5319,level_d,6/29/17 0:00,5/12/16 0:00,,gb,1978,Blockchain Consultant,3,2,9,123,5
5321,level_c,3/9/18 0:00,1/19/18 0:00,AL,us,1987,CEO,1,1,3,165,7
5323,level_b,1/24/18 0:00,12/20/17 0:00,CA,us,1957,self employed,2,3,9,38,1
5325,level_d,2/3/17 0:00,2/1/17 0:00,,gb,1972,Medical,4,3,10,122,2
5327,level_b,3/18/18 0:00,3/18/18 0:00,CA,us,1971,Customer Service Operator,2,2,5,91,4
5329,level_c,9/5/17 0:00,8/31/17 0:00,WA,us,1989,COO,3,3,14,273,2
5331,level_a,1/0/00,12/14/17 0:00,,,,,1,1,1,1,4
5333,level_b,3/31/17 0:00,3/19/17 0:00,NY,us,1986,programmer,2,1,2,23,2
5335,level_c,6/20/17 0:00,6/14/17 0:00,,gb,1984,Carpenter,3,2,4,113,2
5337,level_b,11/24/17 0:00,11/23/17 0:00,NY,us,1990,Finance,2,3,13,34,4
5339,level_b,3/14/18 0:00,1/25/18 0:00,NY,us,1986,Ad Exec,5,6,15,361,2
5341,level_d,3/8/18 0:00,1/18/18 0:00,,sg,1982,Director,3,2,6,57,2
5343,level_d,6/30/16 0:00,6/17/16 0:00,NY,us,1978,Information Technology,3,1,8,155,4
5345,level_d,9/8/17 0:00,9/2/17 0:00,,sg,1990,self employed,2,4,13,295,18
5347,level_d,7/9/17 0:00,6/28/17 0:00,MD,us,1953,IBM Management,4,4,7,102,1
5349,level_c,7/20/17 0:00,6/2/17 0:00,CO,us,1983,Education,1,1,3,356,6
5351,level_b,11/4/17 0:00,11/1/17 0:00,IL,us,1983,Sales,1,2,3,141,2
807,level_b,1/31/17 0:00,1/31/17 0:00,NJ,us,1976,,1,2,2,34,6
5355,level_b,2/3/17 0:00,2/1/17 0:00,IL,us,1976,Software Engineer,2,3,6,76,2
5357,level_c,7/26/16 0:00,2/14/16 0:00,NY,us,1977,Service Manager,7,4,31,293,12
5359,level_d,5/20/17 0:00,5/9/17 0:00,CA,us,1988,online business,3,4,22,205,2
5361,level_d,9/2/16 0:00,8/12/16 0:00,MD,us,1974,Investment Manager,2,3,6,77,5
5363,level_b,8/5/16 0:00,8/5/16 0:00,NY,us,1985,SELF EMPLOYED,1,1,6,186,3
5365,level_d,1/16/18 0:00,12/31/17 0:00,,sg,1985,business development manager,2,3,36,108,5
5367,level_d,6/23/17 0:00,6/20/17 0:00,Hong Kong,hk,1987,Business Man,1,1,5,88,3
5369,level_b,3/7/17 0:00,3/6/17 0:00,CA,us,1980,Consultant,4,3,11,120,3
5371,level_d,6/9/17 0:00,6/1/17 0:00,NY,us,1979,CEO,3,5,12,144,7
5373,level_b,10/19/17 0:00,10/19/17 0:00,CA,us,1980,Engineer,2,4,12,728,1
5375,level_d,8/25/17 0:00,8/23/17 0:00,,sg,1970,DIRECTOR,3,4,9,267,7
5377,level_d,6/20/17 0:00,6/15/17 0:00,,sg,1989,Software Engineer,2,2,17,296,4
5379,level_d,7/18/17 0:00,7/12/17 0:00,CA,us,1975,President,2,2,3,73,5
