EXCHANGE_ACCOUNT_ID,SENT_INDIRECT_EXPOSURE,SENT_DIRECT_EXPOSURE,RECEIVED_INDIRECT_EXPOSURE,RECEIVED_DIRECT_EXPOSURE,cluster_category,cluster_name
15755,7.61,0,1765.9,0,category_1,service_1
10761,57.97,0,38.47,0,category_2,service_3
15755,14.04,0,0,0,category_1,service_4
8617,5.39,0,0,0,category_2,service_3
15755,6089.46,0,725.21,0,category_1,service_7
10761,46.12,0,114.27,0,category_1,service_9
15755,0,0,19.83,0,category_1,service_10
8617,1788.59,961.68,595.29,0,category_1,service_11
12947,0,0,12.93,0,category_3,service_12
15755,0,0,1012.91,0,category_1,service_13
10761,11.79,0,127.21,0,category_2,service_8
15755,0,0,22.7,0,category_1,service_14
10761,2.72,0,1.59,0,category_1,service_15
15235,0,0,10.41,0,category_1,service_10
12215,0,0,925.78,0,category_4,service_16
20301,0,0,350432.23,0,category_5,service_17
15755,8684.98,0,5118.28,0,category_6,service_18
10761,0,0,0.01,0,category_5,service_19
11569,20.06,0,0,0,category_6,service_20
12215,0,0,18.07,0,category_7,service_21
12215,1021.59,0,19.26,0,category_2,service_3
12947,0,0,509.38,0,category_1,service_22
15755,0,0,158.23,0,category_1,service_23
10761,2.02,0,97.66,0,category_1,service_24
15755,841.19,0,0,0,category_1,service_15
10761,7.68,0,40.36,0,category_1,service_25
15755,0,0,9.41,0,category_1,service_27
12947,11025.34,0,10950.3,9055.22,category_1,service_1
15755,0,0,19.53,0,category_1,service_29
12215,6767.74,6054.3,61149,15522.27,category_1,service_1
15235,0,0,418.74,0,category_6,service_20
8617,0,0,142.59,0,category_1,service_1
11569,19.21,0,0,0,category_1,service_30
10761,40.17,0,117.29,0,category_7,service_31
10761,0,0,792.78,0,category_7,service_32
10761,0,0,86.46,0,category_1,service_33
15755,0,0,226.56,0,category_1,service_34
14195,26.21,0,0,0,category_8,service_35
10761,0,0,1.05,0,category_1,service_36
12947,7.95,0,0,0,category_1,service_10
15755,0,0,20.75,0,category_5,service_17
15235,0,0,59.7,0,category_1,service_37
9827,19.5,0,0,0,category_1,service_38
12947,0,0,744.82,0,category_1,service_2
10761,0,0,13.84,0,category_1,service_39
14195,74.9,0,0,0,category_8,service_40
12215,0,0,41.26,0,category_4,service_41
21331,25839.03,0,0,0,category_1,service_2
14195,255389.95,255389.95,85990.94,85990.94,category_1,service_1
15755,37.74,0,12.06,0,category_1,service_42
12215,0,0,290.24,0,category_1,service_43
21331,0,0,45.69,0,category_1,service_34
9827,50.57,0,1023.69,0,category_3,service_44
12947,0,0,190.18,0,category_9,service_45
15235,0,0,10.65,0,category_4,service_47
12215,72.89,0,19.58,0,category_1,service_7
9827,11.35,0,0,0,category_4,service_41
10761,0,0,25.6,0,category_1,service_49
8617,0,0,94.43,0,category_1,service_50
12215,5801.15,5600.32,1532.4,1532.4,category_1,service_51
10761,0,0,13.43,0,category_5,service_52
8617,6.95,0,0,0,category_1,service_7
15755,1763.91,0,626.3,0,category_1,service_54
10761,0,0,2.72,0,category_1,service_29
14195,2398.02,0,0,0,category_6,service_18
12215,0,0,13237.34,0,category_1,service_11
10761,31.02,0,214.79,0,category_1,service_7
12947,204,0,0,0,category_9,service_55
15755,21.86,0,0,0,category_8,service_35
10761,2.48,0,34.76,0,category_9,service_45
10761,5.26,0,170.73,0,category_3,service_44
12215,0,0,138.99,0,category_1,service_9
14195,274.1,0,0,0,category_3,service_56
12215,0,0,158.67,0,category_1,service_57
15755,14.51,0,0,0,category_8,service_58
12947,0,0,20.47,0,category_8,service_59
10761,2.1,0,39.1,0,category_1,service_5
11569,107.32,0,0,0,category_1,service_53
10761,0,0,28.77,0,category_4,service_60
12215,0,0,22,0,category_2,service_61
15235,0,0,51.91,0,category_1,service_38
15755,0,0,340.94,0,category_10,service_62
10761,0,0,1.34,0,category_1,service_63
15235,9465.44,0,44952.53,0,category_1,service_28
10761,66.62,0,0,0,category_4,service_64
10761,0,0,1.71,0,category_5,service_65
12215,0,0,606.86,561.53,category_1,service_66
12947,0,0,32.91,0,category_1,service_67
12215,0,0,26.05,0,category_6,service_20
12215,0,0,7.57,0,category_1,service_42
9827,21.47,18.96,0,0,category_2,service_8
9827,118.24,0,0,0,category_6,service_18
12215,0,0,21.74,0,category_5,service_52
14195,10.92,0,0,0,category_4,service_69
15755,67.09,0,1156.62,0,category_6,service_20
14195,15638.9,0,0,0,category_1,service_28
10761,0,0,108.83,0,category_11,service_70
10761,0,0,46,0,category_1,service_71
10761,0,0,110.67,0,category_1,service_72
15755,21334.89,0,4860.59,0,category_1,service_11
9827,0,0,109.54,0,category_1,service_73
8617,3.76,0,0,0,category_1,service_53
12947,735.32,0,936.46,0,category_1,service_28
10761,0,0,11.03,0,category_1,service_75
10761,0,0,4.28,0,category_1,service_76
10761,0,0,1.57,0,category_3,service_77
12215,0,0,19.2,0,category_1,service_78
9827,361.36,361.36,0,0,category_1,service_7
9827,56.33,0,0,0,category_7,service_80
10761,1.05,0,8.65,0,category_4,service_81
14195,29.96,0,0,0,category_8,service_82
9827,8.1,0,0,0,category_2,service_3
15755,0,0,738.01,0,category_4,service_60
8617,6.09,0,0,0,category_1,service_5
15755,541.85,0,0,0,category_1,service_85
10761,3.25,0,114.23,0,category_1,service_66
15235,0,0,29.95,0,category_1,service_87
10761,11.21,0,11.11,0,category_8,service_88
12215,35.39,0,140.47,0,category_1,service_89
9827,175.93,0,0,0,category_1,service_6
12215,723.83,0,18.26,0,category_3,service_44
12215,9.13,0,0,0,category_1,service_90
15235,0,0,111929.48,16264.66,category_1,service_11
10761,6.6,0,184.73,0,category_1,service_91
14195,177.44,0,0,0,category_1,service_42
15755,0,0,24.64,0,category_9,service_92
10761,0,0,36.76,0,category_1,service_10
12215,931.35,931.35,0,0,category_1,service_94
9827,17.35,0,0,0,category_1,service_53
15755,55530.66,0,134.15,0,category_1,service_28
15235,0,0,36917.56,0,category_5,service_17
10761,3.07,0,288.02,0,category_1,service_42
12215,5.46,0,0,0,category_1,service_38
15755,0,0,58.48,0,category_3,service_95
12215,0,0,140.41,0,category_1,service_10
10761,2.66,0,0,0,category_1,service_96
15755,0,0,11.63,0,category_1,service_97
15755,0,0,38.98,0,category_1,service_9
10761,21.29,0,168.4,0,category_4,service_41
15755,25.95,0,0,0,category_2,service_98
10761,1.9,0,0,0,category_1,service_99
10761,0,0,33.05,0,category_1,service_6
15755,0,0,44.09,0,category_1,service_102
15755,7713.78,7702.54,2111.4,0,category_1,service_87
12215,81.37,0,2064.16,0,category_1,service_28
10761,12.01,0,926.92,0,category_1,service_89
12215,0,0,51.33,0,category_1,service_103
21331,41711.08,0,41904.63,0,category_1,service_28
21331,1276.75,0,0,0,category_1,service_66
12215,0,0,6.72,0,category_2,service_104
12215,0,0,54.57,0,category_1,service_50
10761,0,0,10.54,0,category_1,service_14
12215,0,0,18.45,0,category_5,service_105
12215,10.87,0,0,0,category_12,service_106
10761,0,0,4.69,0,category_1,service_107
12947,0,0,100.98,0,category_7,service_68
10761,2.46,0,15.88,0,category_4,service_86
10761,0,0,8.09,0,category_11,service_108
10761,11.74,0,272.46,0,category_6,service_20
12947,139.14,0,0,0,category_8,service_109
9827,201.01,201.01,2612,2561.79,category_11,service_110
10761,0,0,188.29,0,category_4,service_69
12215,7.5,0,0,0,category_1,service_111
10761,0,0,5.76,0,category_1,service_97
21331,43408,31649.6,11713.38,3587.89,category_1,service_53
15755,0,0,48.53,0,category_7,service_32
9827,0,0,1678.74,0,category_1,service_113
10761,0,0,1.85,0,category_12,service_114
15235,0,0,19316.99,0,category_1,service_2
15235,0,0,1690.62,0,category_1,service_50
10761,0,0,10.86,0,category_8,service_115
10761,55.54,0,484.87,0,category_1,service_2
15755,1189.48,0,7.82,0,category_1,service_116
10761,0,0,3.56,0,category_1,service_23
15755,0,0,1446.56,0,category_7,service_68
15235,0,0,11.62,0,category_1,service_91
10761,8.94,0,163.55,0,category_7,service_117
15235,0,0,27798.11,0,category_1,service_118
12947,0,0,7.26,0,category_1,service_89
12215,0,0,14.15,0,category_1,service_119
10761,1.41,0,0,0,category_1,service_120
10761,23.71,0,37.03,0,category_7,service_68
15755,0,0,1018.61,0,category_1,service_2
10761,2.71,0,3.81,0,category_7,service_121
10761,41.95,0,746.94,0,category_1,service_103
12215,0,0,2404.7,0,category_3,service_12
12215,0,0,107.44,0,category_1,service_123
10761,0,0,49.49,0,category_1,service_124
15755,49.13,0,0,0,category_1,service_125
12947,424.74,424.74,0,0,category_8,service_126
12215,0,0,57.71,0,category_1,service_127
11569,21988.56,21988.56,164069.52,0,category_4,service_41
